%t , vf , sr , u_s
2.300000e-01 , 4.716219e-01 , 3.461175e+00 , -1.200000e+01
2.310000e-01 , 4.738547e-01 , 3.287794e+00 , -1.200000e+01
2.320000e-01 , 4.760894e-01 , 3.116085e+00 , -1.200000e+01
2.330000e-01 , 4.783262e-01 , 2.946041e+00 , -1.200000e+01
2.340000e-01 , 4.805652e-01 , 2.777648e+00 , -1.200000e+01
2.350000e-01 , 4.828067e-01 , 2.610897e+00 , -1.200000e+01
2.360000e-01 , 4.850510e-01 , 2.445774e+00 , -1.200000e+01
2.370000e-01 , 4.872986e-01 , 2.282269e+00 , -1.200000e+01
2.380000e-01 , 4.895499e-01 , 2.120367e+00 , -1.200000e+01
2.390000e-01 , 4.918054e-01 , 1.960055e+00 , -1.200000e+01
2.400000e-01 , 4.940658e-01 , 1.801319e+00 , -1.200000e+01
2.410000e-01 , 4.963321e-01 , 1.644143e+00 , -1.200000e+01
2.420000e-01 , 4.986054e-01 , 1.488510e+00 , -1.200000e+01
2.430000e-01 , 5.008871e-01 , 1.334403e+00 , -1.200000e+01
2.440000e-01 , 5.031795e-01 , 1.181801e+00 , -1.200000e+01
2.450000e-01 , 5.054854e-01 , 1.030682e+00 , -1.200000e+01
2.460000e-01 , 5.078093e-01 , 8.810154e-01 , -1.200000e+01
2.470000e-01 , 5.101581e-01 , 7.327652e-01 , -1.200000e+01
2.480000e-01 , 5.125437e-01 , 5.858773e-01 , -1.200000e+01
2.490000e-01 , 5.149889e-01 , 4.402633e-01 , -1.200000e+01
2.500000e-01 , 5.175456e-01 , 2.957494e-01 , -1.200000e+01
2.510000e-01 , 5.203574e-01 , 1.519143e-01 , -1.200000e+01
2.520000e-01 , 5.214880e-01 , 1.218894e-02 , 1.200000e+01
2.530000e-01 , 5.185676e-01 , -1.138702e-01 , 1.200000e+01
2.540000e-01 , 5.159132e-01 , -2.269199e-01 , 1.200000e+01
2.550000e-01 , 5.133884e-01 , -3.305962e-01 , 1.200000e+01
2.560000e-01 , 5.109322e-01 , -4.246551e-01 , 1.200000e+01
2.570000e-01 , 5.085173e-01 , -5.091869e-01 , 1.200000e+01
2.580000e-01 , 5.061295e-01 , -5.844189e-01 , 1.200000e+01
2.590000e-01 , 5.037605e-01 , -6.506251e-01 , 1.200000e+01
2.600000e-01 , 5.014052e-01 , -7.080932e-01 , 1.200000e+01
2.610000e-01 , 4.990598e-01 , -7.571122e-01 , 1.200000e+01
2.620000e-01 , 4.967218e-01 , -7.979661e-01 , 1.200000e+01
2.630000e-01 , 4.943893e-01 , -8.309310e-01 , 1.200000e+01
2.640000e-01 , 4.920607e-01 , -8.562737e-01 , 1.200000e+01
2.650000e-01 , 4.897347e-01 , -8.742512e-01 , 1.200000e+01
2.660000e-01 , 4.874102e-01 , -8.851102e-01 , 1.200000e+01
2.670000e-01 , 4.850863e-01 , -8.890868e-01 , 1.200000e+01
2.680000e-01 , 4.827621e-01 , -8.864072e-01 , 1.200000e+01
2.690000e-01 , 4.804365e-01 , -8.772870e-01 , 1.200000e+01
2.700000e-01 , 4.781088e-01 , -8.619320e-01 , 1.200000e+01
2.710000e-01 , 4.757777e-01 , -8.405378e-01 , 1.200000e+01
2.720000e-01 , 4.734424e-01 , -8.132902e-01 , 1.200000e+01
2.730000e-01 , 4.711013e-01 , -7.803649e-01 , 1.200000e+01
2.740000e-01 , 4.687530e-01 , -7.419276e-01 , 1.200000e+01
2.750000e-01 , 4.663955e-01 , -6.981332e-01 , 1.200000e+01
2.760000e-01 , 4.640262e-01 , -6.491256e-01 , 1.200000e+01
2.770000e-01 , 4.616418e-01 , -5.950357e-01 , 1.200000e+01
2.780000e-01 , 4.592376e-01 , -5.359800e-01 , 1.200000e+01
2.790000e-01 , 4.568064e-01 , -4.720554e-01 , 1.200000e+01
2.800000e-01 , 4.543375e-01 , -4.033321e-01 , 1.200000e+01
2.810000e-01 , 4.518125e-01 , -3.298365e-01 , 1.200000e+01
2.820000e-01 , 4.491975e-01 , -2.515153e-01 , 1.200000e+01
2.830000e-01 , 4.464244e-01 , -1.681481e-01 , 1.200000e+01
